0,-0.115,0.259,0.885
0.009,0.038,0.37,0.962
0.017,0.346,0.407,1
0.026,0.346,0.407,1
0.034,0.538,0.444,1
0.043,0.462,0.444,0.962
0.051,0.154,0.296,0.923
0.06,-0.077,0.222,0.962
0.068,-0.038,0.222,1
0.078,0.231,0.333,1.077
0.087,0.231,0.333,1.077
0.095,0.423,0.444,1.192
0.104,0.423,0.444,1.269
0.112,0.308,0.37,1.308
0.121,0.154,0.333,1.385
0.129,0.115,0.333,1.462
0.138,0.231,0.37,1.538
0.146,0.308,0.444,1.615
0.155,0.385,0.481,1.577
0.163,0.385,0.481,1.577
0.172,0.423,0.444,1.231
0.18,0.231,0.296,1.192
0.189,0.038,0.185,1.385
0.197,0.077,0.185,1.423
0.206,0.154,0.222,1.538
0.214,0.231,0.333,1.692
0.223,0.231,0.333,1.692
0.232,0.269,0.407,1.731
0.241,0.308,0.444,1.808
0.249,0.231,0.444,1.885
0.258,0.192,0.444,1.923
0.266,0.192,0.481,1.885
0.275,0.231,0.444,1.692
0.283,0.231,0.444,1.692
0.292,0.308,0.407,1.346
0.3,0.346,0.296,1
0.309,0.346,0.111,0.654
0.317,0.231,-0.074,0.308
0.326,0.115,-0.259,0.154
0.335,0.038,-0.296,0
0.343,0.038,-0.296,0
0.352,-0.346,-0.185,-0.192
