0,1.2,1,1
0.009,1.2,1,1
0.017,1.24,0.846,0.538
0.026,1.24,0.846,0.577
0.034,1.24,0.885,0.538
0.043,1.24,0.923,0.538
0.051,1.24,0.962,0.538
0.06,1.28,0.923,0.577
0.068,1.28,0.923,0.577
0.077,1.36,0.962,0.615
0.085,1.48,1.038,0.654
0.094,1.56,1.077,0.692
0.102,1.64,1.038,0.615
0.111,1.96,1.115,0.577
0.119,1.96,1.115,0.577
0.128,2.28,1.308,0.5
0.136,2.48,1.538,0.346
0.145,2.4,2,0.346
0.153,2.08,2.538,0.538
0.162,1.6,3.077,0.846
0.17,1,3.577,1.115
0.179,1,3.577,1.115
0.187,0.32,3.923,1.192
0.196,-0.36,3.962,1.077
0.204,-0.96,3.538,0.731
0.213,-1.48,2.885,0.5
0.221,-1.96,2,0.538
0.23,-2.36,1.115,0.846
0.238,-2.8,0.231,1
0.247,-2.8,0.231,1
0.255,-3.36,-0.385,0.615
0.264,-3.68,-0.808,0.423
0.273,-3.24,-0.769,0.654
0.281,-2.36,-0.385,0.962
0.29,-1.48,0.038,0.962
0.298,-1.48,0.038,0.962
0.307,-0.92,0.346,0.885
0.315,-0.52,0.538,0.846
0.324,-0.4,0.538,0.808
0.332,-0.6,0.385,0.731
0.341,-0.6,0.385,0.731
0.349,-0.84,0.192,0.692
0.358,-0.92,0.038,0.731
0.366,-0.92,-0.038,0.808
0.375,-0.84,-0.038,0.923
0.383,-0.68,0,1
0.392,-0.68,0,1
0.4,-0.4,0.077,1.077
0.409,-0.2,0.115,1.192
0.417,-0.12,0.115,1.231
0.426,-0.12,0.038,1.231
0.434,-0.2,-0.038,1.231
0.443,-0.2,-0.038,1.231
0.451,-0.24,-0.115,1.231
0.46,-0.24,-0.154,1.192
0.469,-0.24,-0.192,1.154
0.477,-0.24,-0.154,1.115
0.486,-0.12,-0.115,1.038
0.494,-0.12,-0.115,1.038
0.503,-0.04,-0.077,1
0.512,0,-0.077,1
0.52,-0.04,-0.115,1
0.529,-0.08,-0.154,1.038
0.537,-0.16,-0.192,1.077
0.546,-0.32,-0.269,1.115
0.554,-0.32,-0.269,1.115
