0,0.077,-0.63,0.654
0.009,0.115,-0.593,0.654
0.017,0.077,-0.556,0.692
0.026,0.077,-0.556,0.692
0.035,0.115,-0.519,0.692
0.043,0.154,-0.519,0.692
0.052,0.077,-0.593,0.692
0.06,0.077,-0.593,0.692
0.069,-0.077,-0.63,0.692
0.077,-0.308,-0.741,0.731
0.086,-0.538,-0.852,0.692
0.094,-0.654,-0.926,0.692
0.103,-0.654,-0.926,0.692
0.111,-0.654,-0.926,0.692
0.12,-0.615,-0.889,0.692
0.129,-0.615,-0.889,0.692
0.137,-0.731,-0.926,0.692
0.146,-0.846,-0.963,0.731
0.154,-0.885,-0.926,0.731
0.163,-0.846,-0.852,0.731
0.171,-0.808,-0.815,0.692
0.18,-0.808,-0.815,0.692
0.189,-0.731,-0.741,0.692
0.197,-0.731,-0.667,0.692
0.206,-0.731,-0.593,0.692
0.214,-0.577,-0.407,0.692
0.223,-0.269,-0.296,0.615
0.231,0.077,-0.148,0.5
0.24,0.462,-0.037,0.423
0.249,0.885,0.074,0.346
0.257,1.269,0.111,0.462
0.266,1.269,0.111,0.462
0.274,1.615,0.148,0.654
0.283,1.923,0.148,0.731
0.291,2.231,0.148,0.731
0.3,2.231,0.185,0.654
0.308,2,0.222,0.654
0.317,2,0.222,0.654
0.325,1.846,0.259,0.538
0.334,1.615,0.37,0.423
0.343,1.115,0.63,0.462
0.351,0.423,0.778,0.692
0.36,-0.577,0.63,1.269
0.368,-0.577,0.63,1.269
0.377,-2.154,-0.333,1.846
0.385,-3.346,-1.593,1.808
0.394,-3.769,-2.37,1.385
0.406,-3.462,-2.185,0.808
0.415,-2.769,-1.407,0.308
0.423,-1.731,-0.667,0.154
0.437,-0.692,-0.333,0.077
0.446,0.077,-0.185,0
0.455,0.423,-0.111,0.038
0.463,0.577,-0.074,0.077
0.472,0.731,0,0.231
0.482,1.038,0.111,0.308
0.493,1.538,0.222,0.385
0.503,1.962,0.333,0.462
0.512,1.962,0.37,0.615
0.52,1.577,0.333,0.692
0.53,1,0.222,0.808
0.539,1,0.222,0.808
0.548,0.115,-0.074,1.038
0.557,-0.538,-0.519,1.192
0.565,-1.115,-0.963,1.192
0.574,-1.385,-1.296,1.038
0.584,-1.346,-1.481,0.808
0.592,-1.077,-1.407,0.577
0.601,-1.077,-1.407,0.577
0.609,-0.731,-1.222,0.462
0.618,-0.423,-1.074,0.5
0.626,-0.154,-0.889,0.5
0.635,0.115,-0.667,0.5
0.645,0.423,-0.444,0.577
0.658,0.731,-0.333,0.692
0.667,0.846,-0.259,0.769
0.676,0.885,-0.222,0.769
0.684,0.923,-0.222,0.692
0.693,0.808,-0.222,0.654
0.702,0.808,-0.222,0.654
0.71,0.615,-0.296,0.692
0.719,0.308,-0.407,0.808
0.727,0,-0.556,0.885
0.736,-0.192,-0.667,0.885
0.745,-0.192,-0.741,0.769
0.754,-0.038,-0.778,0.654
0.763,0.077,-0.778,0.615
0.772,0.077,-0.778,0.615
0.782,0.192,-0.741,0.654
0.79,0.269,-0.704,0.654
0.799,0.346,-0.667,0.692
0.808,0.346,-0.667,0.808
0.817,0.269,-0.667,0.846
0.826,0.192,-0.667,0.808
0.834,0.231,-0.63,0.731
0.843,0.231,-0.63,0.654
0.852,0.231,-0.63,0.654
