raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,2.86,0.44318
100,1,5.15,0.44318
150,1,7.12666666667,0.44318
200,1,9.25,0.44318
250,1,11.4633333333,0.44318
300,1,13.67,0.44318
50,6,4.01333333333,0.93182
100,6,6.30333333333,0.84091
150,6,8.31666666667,0.88636
200,6,10.4533333333,0.86364
250,6,12.6766666667,0.82955
300,6,14.9433333333,0.85227
50,11,5.51,0.94318
100,11,8.03333333333,0.75
150,11,9.46,0.92045
200,11,11.6166666667,0.77273
250,11,13.91,0.82955
300,11,16.1,0.81818
50,16,6.56333333333,0.93182
100,16,8.81333333333,0.80682
150,16,10.75,0.81818
200,16,12.84,0.81818
250,16,15.0366666667,0.80682
300,16,17.32,0.80682
50,21,7.89,0.92045
100,21,10.0733333333,0.81818
150,21,12.08,0.81818
200,21,14.1466666667,0.85227
250,21,16.3533333333,0.81818
300,21,18.5833333333,0.81818
50,26,9.17666666667,0.93182
100,26,11.35,0.89773
150,26,13.27,0.84091
200,26,15.5,0.85227
250,26,17.6366666667,0.85227
300,26,19.8466666667,0.84091
50,31,10.4533333333,0.93182
100,31,12.6333333333,0.92045
150,31,14.6533333333,0.88636
200,31,16.72,0.85227
250,31,18.9666666667,0.82955
300,31,21.21,0.85227
50,36,11.81,0.93182
100,36,13.9233333333,0.89773
150,36,15.8733333333,0.89773
200,36,17.97,0.84091
250,36,20.2333333333,0.84091
300,36,22.3266666667,0.85227
50,41,13.0233333333,0.95455
100,41,15.29,0.90909
150,41,17.2033333333,0.90909
200,41,19.27,0.88636
250,41,21.45,0.82955
300,41,23.79,0.85227
50,46,13.5466666667,0.93182
100,46,16.51,0.94318
150,46,18.4,0.89773
200,46,20.4933333333,0.90909
250,46,22.6733333333,0.85227
300,46,24.7933333333,0.85227
50,51,13.57,0.93182
100,51,17.8833333333,0.93182
150,51,19.7,0.88636
200,51,21.7266666667,0.92045
250,51,23.8933333333,0.89773
300,51,26.0366666667,0.85227
